Technically possible output frequencies (fcw) of integrated cosine waveform (CW) Generator:
(with definition SW_FSTEP_MAX=128, default value 0 for RTC_CNTL_CK8M_DIV_SEL stays untouched)
setCwFrequency(): ftarget=1, fcw=122, abs(delta)=121, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=2828, fcw=2807, abs(delta)=21, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2829, fcw=2807, abs(delta)=22, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2830, fcw=2807, abs(delta)=23, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2831, fcw=2807, abs(delta)=24, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2832, fcw=2807, abs(delta)=25, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2833, fcw=2807, abs(delta)=26, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2834, fcw=2807, abs(delta)=27, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2835, fcw=2807, abs(delta)=28, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2836, fcw=2807, abs(delta)=29, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2837, fcw=2807, abs(delta)=30, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2838, fcw=2807, abs(delta)=31, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2839, fcw=2807, abs(delta)=32, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2840, fcw=2807, abs(delta)=33, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2841, fcw=2807, abs(delta)=34, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2842, fcw=2807, abs(delta)=35, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2843, fcw=2807, abs(delta)=36, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2844, fcw=2807, abs(delta)=37, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2845, fcw=2807, abs(delta)=38, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2846, fcw=2807, abs(delta)=39, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2847, fcw=2807, abs(delta)=40, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2848, fcw=2807, abs(delta)=41, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2849, fcw=2807, abs(delta)=42, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2850, fcw=2807, abs(delta)=43, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2851, fcw=2807, abs(delta)=44, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2852, fcw=2807, abs(delta)=45, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2853, fcw=2807, abs(delta)=46, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2854, fcw=2807, abs(delta)=47, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2855, fcw=2807, abs(delta)=48, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2856, fcw=2807, abs(delta)=49, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2857, fcw=2807, abs(delta)=50, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2858, fcw=2807, abs(delta)=51, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2859, fcw=2807, abs(delta)=52, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2860, fcw=2807, abs(delta)=53, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2861, fcw=2807, abs(delta)=54, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2862, fcw=2807, abs(delta)=55, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2863, fcw=2807, abs(delta)=56, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2864, fcw=2807, abs(delta)=57, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2865, fcw=2807, abs(delta)=58, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2866, fcw=2807, abs(delta)=59, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2867, fcw=2807, abs(delta)=60, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2868, fcw=2807, abs(delta)=61, clk8mDiv=0, frequencyStep=23, stepSize=122.070312
setCwFrequency(): ftarget=2869, fcw=2929, abs(delta)=60, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2870, fcw=2929, abs(delta)=59, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2871, fcw=2929, abs(delta)=58, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2872, fcw=2929, abs(delta)=57, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2873, fcw=2929, abs(delta)=56, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2874, fcw=2929, abs(delta)=55, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2875, fcw=2929, abs(delta)=54, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2876, fcw=2929, abs(delta)=53, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2877, fcw=2929, abs(delta)=52, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2878, fcw=2929, abs(delta)=51, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2879, fcw=2929, abs(delta)=50, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2880, fcw=2929, abs(delta)=49, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2881, fcw=2929, abs(delta)=48, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2882, fcw=2929, abs(delta)=47, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2883, fcw=2929, abs(delta)=46, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2884, fcw=2929, abs(delta)=45, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2885, fcw=2929, abs(delta)=44, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2886, fcw=2929, abs(delta)=43, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2887, fcw=2929, abs(delta)=42, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2888, fcw=2929, abs(delta)=41, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2889, fcw=2929, abs(delta)=40, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2890, fcw=2929, abs(delta)=39, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2891, fcw=2929, abs(delta)=38, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2892, fcw=2929, abs(delta)=37, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2893, fcw=2929, abs(delta)=36, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2894, fcw=2929, abs(delta)=35, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2895, fcw=2929, abs(delta)=34, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2896, fcw=2929, abs(delta)=33, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2897, fcw=2929, abs(delta)=32, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2898, fcw=2929, abs(delta)=31, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2899, fcw=2929, abs(delta)=30, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2900, fcw=2929, abs(delta)=29, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2901, fcw=2929, abs(delta)=28, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2902, fcw=2929, abs(delta)=27, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2903, fcw=2929, abs(delta)=26, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2904, fcw=2929, abs(delta)=25, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2905, fcw=2929, abs(delta)=24, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2906, fcw=2929, abs(delta)=23, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2907, fcw=2929, abs(delta)=22, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2908, fcw=2929, abs(delta)=21, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2909, fcw=2929, abs(delta)=20, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2910, fcw=2929, abs(delta)=19, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2911, fcw=2929, abs(delta)=18, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2912, fcw=2929, abs(delta)=17, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2913, fcw=2929, abs(delta)=16, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2914, fcw=2929, abs(delta)=15, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2915, fcw=2929, abs(delta)=14, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2916, fcw=2929, abs(delta)=13, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2917, fcw=2929, abs(delta)=12, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2918, fcw=2929, abs(delta)=11, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2919, fcw=2929, abs(delta)=10, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2920, fcw=2929, abs(delta)=9, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2921, fcw=2929, abs(delta)=8, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2922, fcw=2929, abs(delta)=7, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2923, fcw=2929, abs(delta)=6, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2924, fcw=2929, abs(delta)=5, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2925, fcw=2929, abs(delta)=4, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2926, fcw=2929, abs(delta)=3, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2927, fcw=2929, abs(delta)=2, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2928, fcw=2929, abs(delta)=1, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2929, fcw=2929, abs(delta)=0, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2930, fcw=2929, abs(delta)=1, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2931, fcw=2929, abs(delta)=2, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2932, fcw=2929, abs(delta)=3, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2933, fcw=2929, abs(delta)=4, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2934, fcw=2929, abs(delta)=5, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2935, fcw=2929, abs(delta)=6, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2936, fcw=2929, abs(delta)=7, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2937, fcw=2929, abs(delta)=8, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2938, fcw=2929, abs(delta)=9, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2939, fcw=2929, abs(delta)=10, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2940, fcw=2929, abs(delta)=11, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2941, fcw=2929, abs(delta)=12, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2942, fcw=2929, abs(delta)=13, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2943, fcw=2929, abs(delta)=14, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2944, fcw=2929, abs(delta)=15, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2945, fcw=2929, abs(delta)=16, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2946, fcw=2929, abs(delta)=17, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2947, fcw=2929, abs(delta)=18, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2948, fcw=2929, abs(delta)=19, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2949, fcw=2929, abs(delta)=20, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2950, fcw=2929, abs(delta)=21, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2951, fcw=2929, abs(delta)=22, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2952, fcw=2929, abs(delta)=23, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2953, fcw=2929, abs(delta)=24, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2954, fcw=2929, abs(delta)=25, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2955, fcw=2929, abs(delta)=26, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2956, fcw=2929, abs(delta)=27, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2957, fcw=2929, abs(delta)=28, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2958, fcw=2929, abs(delta)=29, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2959, fcw=2929, abs(delta)=30, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2960, fcw=2929, abs(delta)=31, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2961, fcw=2929, abs(delta)=32, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2962, fcw=2929, abs(delta)=33, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2963, fcw=2929, abs(delta)=34, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2964, fcw=2929, abs(delta)=35, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2965, fcw=2929, abs(delta)=36, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2966, fcw=2929, abs(delta)=37, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2967, fcw=2929, abs(delta)=38, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2968, fcw=2929, abs(delta)=39, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2969, fcw=2929, abs(delta)=40, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2970, fcw=2929, abs(delta)=41, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2971, fcw=2929, abs(delta)=42, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2972, fcw=2929, abs(delta)=43, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2973, fcw=2929, abs(delta)=44, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2974, fcw=2929, abs(delta)=45, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2975, fcw=2929, abs(delta)=46, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2976, fcw=2929, abs(delta)=47, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2977, fcw=2929, abs(delta)=48, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2978, fcw=2929, abs(delta)=49, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2979, fcw=2929, abs(delta)=50, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2980, fcw=2929, abs(delta)=51, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2981, fcw=2929, abs(delta)=52, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2982, fcw=2929, abs(delta)=53, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2983, fcw=2929, abs(delta)=54, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2984, fcw=2929, abs(delta)=55, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2985, fcw=2929, abs(delta)=56, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2986, fcw=2929, abs(delta)=57, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2987, fcw=2929, abs(delta)=58, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2988, fcw=2929, abs(delta)=59, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2989, fcw=2929, abs(delta)=60, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2990, fcw=2929, abs(delta)=61, clk8mDiv=0, frequencyStep=24, stepSize=122.070312
setCwFrequency(): ftarget=2991, fcw=3051, abs(delta)=60, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=2992, fcw=3051, abs(delta)=59, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=2993, fcw=3051, abs(delta)=58, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=2994, fcw=3051, abs(delta)=57, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=2995, fcw=3051, abs(delta)=56, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=2996, fcw=3051, abs(delta)=55, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=2997, fcw=3051, abs(delta)=54, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=2998, fcw=3051, abs(delta)=53, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=2999, fcw=3051, abs(delta)=52, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3000, fcw=3051, abs(delta)=51, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3001, fcw=3051, abs(delta)=50, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3002, fcw=3051, abs(delta)=49, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3003, fcw=3051, abs(delta)=48, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3004, fcw=3051, abs(delta)=47, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3005, fcw=3051, abs(delta)=46, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3006, fcw=3051, abs(delta)=45, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3007, fcw=3051, abs(delta)=44, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3008, fcw=3051, abs(delta)=43, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3009, fcw=3051, abs(delta)=42, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3010, fcw=3051, abs(delta)=41, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3011, fcw=3051, abs(delta)=40, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3012, fcw=3051, abs(delta)=39, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3013, fcw=3051, abs(delta)=38, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3014, fcw=3051, abs(delta)=37, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3015, fcw=3051, abs(delta)=36, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3016, fcw=3051, abs(delta)=35, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3017, fcw=3051, abs(delta)=34, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3018, fcw=3051, abs(delta)=33, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3019, fcw=3051, abs(delta)=32, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3020, fcw=3051, abs(delta)=31, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3021, fcw=3051, abs(delta)=30, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3022, fcw=3051, abs(delta)=29, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3023, fcw=3051, abs(delta)=28, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3024, fcw=3051, abs(delta)=27, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3025, fcw=3051, abs(delta)=26, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3026, fcw=3051, abs(delta)=25, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3027, fcw=3051, abs(delta)=24, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3028, fcw=3051, abs(delta)=23, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3029, fcw=3051, abs(delta)=22, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3030, fcw=3051, abs(delta)=21, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3031, fcw=3051, abs(delta)=20, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3032, fcw=3051, abs(delta)=19, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3033, fcw=3051, abs(delta)=18, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3034, fcw=3051, abs(delta)=17, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3035, fcw=3051, abs(delta)=16, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3036, fcw=3051, abs(delta)=15, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3037, fcw=3051, abs(delta)=14, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3038, fcw=3051, abs(delta)=13, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3039, fcw=3051, abs(delta)=12, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3040, fcw=3051, abs(delta)=11, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3041, fcw=3051, abs(delta)=10, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3042, fcw=3051, abs(delta)=9, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3043, fcw=3051, abs(delta)=8, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3044, fcw=3051, abs(delta)=7, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3045, fcw=3051, abs(delta)=6, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3046, fcw=3051, abs(delta)=5, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3047, fcw=3051, abs(delta)=4, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3048, fcw=3051, abs(delta)=3, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3049, fcw=3051, abs(delta)=2, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
setCwFrequency(): ftarget=3050, fcw=3051, abs(delta)=1, clk8mDiv=0, frequencyStep=25, stepSize=122.070312
