Technically possible output frequencies (fcw) of integrated cosine waveform (CW) Generator:
(with definition SW_FSTEP_MAX=256, default value 0 for RTC_CNTL_CK8M_DIV_SEL stays untouched)

setCwFrequency(): ftarget=53, fcw=122, abs(delta)=69, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=54, fcw=122, abs(delta)=68, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=55, fcw=122, abs(delta)=67, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=56, fcw=122, abs(delta)=66, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=57, fcw=122, abs(delta)=65, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=58, fcw=122, abs(delta)=64, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=59, fcw=122, abs(delta)=63, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=60, fcw=122, abs(delta)=62, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=61, fcw=122, abs(delta)=61, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=62, fcw=122, abs(delta)=60, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=63, fcw=122, abs(delta)=59, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=64, fcw=122, abs(delta)=58, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=65, fcw=122, abs(delta)=57, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=66, fcw=122, abs(delta)=56, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=67, fcw=122, abs(delta)=55, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=68, fcw=122, abs(delta)=54, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=69, fcw=122, abs(delta)=53, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=70, fcw=122, abs(delta)=52, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
